Jour | Début | Fin | Activité | Catégorie | Salle | Variante
lundi | 04:00 | 04:06 | Sport rapide (6 min) | neutre |  | 
lundi | 04:06 | 04:26 | Douche | neutre |  | 
lundi | 04:26 | 05:30 | Lecture biblique et priere | priere |  | 
lundi | 05:30 | 07:00 | EL48 - Anki + reprise du cours | travail_personnel |  | 
lundi | 07:00 | 07:30 | Collation et preparation | neutre |  | 
lundi | 07:30 | 08:00 | Trajet vers l'UTBM (CROUS -> UTBM) | neutre |  | 
lundi | 08:00 | 10:00 | EL48 CM1 | cours_tp | I102 | 
lundi | 10:00 | 10:15 | Pause | neutre |  | 
lundi | 10:15 | 12:15 | SY45 CM1 | cours_tp | A219 | 
lundi | 12:15 | 13:00 | Repas principal | neutre |  | 
lundi | 13:00 | 16:00 | EL47 TP1 (groupe A) | cours_tp | B005 | A
lundi | 13:00 | 16:00 | IF40 TP1 (groupe B) | cours_tp | B123 | B
lundi | 16:00 | 16:15 | Pause | neutre |  | 
lundi | 16:15 | 18:15 | IF40 TD1 | cours_tp | A112 | 
lundi | 18:15 | 19:15 | LE01 TP5 | cours_tp | A217 | 
lundi | 19:15 | 19:45 | Retour au CROUS (UTBM -> CROUS) | neutre |  | 
lundi | 19:45 | 20:15 | Diner principal | neutre |  | 
lundi | 20:15 | 20:45 | EL48 - revision rapide du jour | travail_personnel |  | 
lundi | 20:45 | 21:00 | Temps libre | loisir |  | 
lundi | 21:00 | 21:30 | Appel famille (court) | loisir |  | 
lundi | 21:30 | 22:00 | Preparation au sommeil | neutre |  | 
mardi | 04:00 | 04:06 | Sport rapide (6 min) | neutre |  | 
mardi | 04:06 | 04:26 | Douche | neutre |  | 
mardi | 04:26 | 05:30 | Lecture biblique et priere | priere |  | 
mardi | 05:30 | 07:00 | IF40 - preparation CM (DSP / code C) | travail_personnel |  | 
mardi | 07:00 | 08:00 | Collation et trajet | neutre |  | 
mardi | 08:00 | 10:00 | EL48 TD1 | cours_tp | A111 | 
mardi | 10:00 | 10:15 | Pause | neutre |  | 
mardi | 10:15 | 12:15 | IF40 CM1 | cours_tp | A101 | 
mardi | 12:15 | 13:00 | Repas principal | neutre |  | 
